run_id=mock-smoke-A repetition=1 requests=200 max_slip=100ms
schedule item=0 offset=157.445293ms input_tokens=117 max_tokens=35
schedule item=1 offset=251.323836ms input_tokens=80 max_tokens=128
schedule item=2 offset=286.176766ms input_tokens=102 max_tokens=28
schedule item=3 offset=302.158337ms input_tokens=132 max_tokens=18
schedule item=4 offset=310.129534ms input_tokens=109 max_tokens=68
schedule item=5 offset=403.656997ms input_tokens=173 max_tokens=17
schedule item=6 offset=591.78008ms input_tokens=95 max_tokens=42
schedule item=7 offset=623.886417ms input_tokens=117 max_tokens=51
schedule item=8 offset=682.643208ms input_tokens=187 max_tokens=58
schedule item=9 offset=877.350237ms input_tokens=191 max_tokens=31
schedule item=10 offset=943.68265ms input_tokens=103 max_tokens=23
schedule item=11 offset=1.047767801s input_tokens=80 max_tokens=29
schedule item=12 offset=1.072789968s input_tokens=159 max_tokens=34
schedule item=13 offset=1.079868439s input_tokens=47 max_tokens=55
schedule item=14 offset=1.083818316s input_tokens=54 max_tokens=37
schedule item=15 offset=1.089401296s input_tokens=101 max_tokens=14
schedule item=16 offset=1.10034608s input_tokens=96 max_tokens=74
schedule item=17 offset=1.116462947s input_tokens=225 max_tokens=47
schedule item=18 offset=1.156611979s input_tokens=165 max_tokens=25
schedule item=19 offset=1.181581222s input_tokens=85 max_tokens=18
schedule item=20 offset=1.187435528s input_tokens=110 max_tokens=24
schedule item=21 offset=1.229635144s input_tokens=140 max_tokens=30
schedule item=22 offset=1.242436459s input_tokens=136 max_tokens=43
schedule item=23 offset=1.29596502s input_tokens=111 max_tokens=15
schedule item=24 offset=1.329197399s input_tokens=98 max_tokens=44
schedule item=25 offset=1.335645634s input_tokens=115 max_tokens=36
schedule item=26 offset=1.35661207s input_tokens=147 max_tokens=45
schedule item=27 offset=1.391151262s input_tokens=170 max_tokens=77
schedule item=28 offset=1.416617246s input_tokens=114 max_tokens=30
schedule item=29 offset=1.417970142s input_tokens=173 max_tokens=38
schedule item=30 offset=1.44748573s input_tokens=134 max_tokens=69
schedule item=31 offset=1.454929545s input_tokens=158 max_tokens=31
schedule item=32 offset=1.46482581s input_tokens=169 max_tokens=29
schedule item=33 offset=1.526039822s input_tokens=101 max_tokens=16
schedule item=34 offset=1.544953101s input_tokens=133 max_tokens=26
schedule item=35 offset=1.600707451s input_tokens=80 max_tokens=87
schedule item=36 offset=1.693120516s input_tokens=134 max_tokens=72
schedule item=37 offset=1.813622526s input_tokens=164 max_tokens=13
schedule item=38 offset=1.872938694s input_tokens=92 max_tokens=51
schedule item=39 offset=1.947563176s input_tokens=101 max_tokens=98
schedule item=40 offset=1.971043266s input_tokens=151 max_tokens=33
schedule item=41 offset=1.980939038s input_tokens=125 max_tokens=51
schedule item=42 offset=2.084483607s input_tokens=140 max_tokens=69
schedule item=43 offset=2.111209s input_tokens=154 max_tokens=26
schedule item=44 offset=2.119003172s input_tokens=85 max_tokens=12
