run_id=dryrun-bursty repetition=1 requests=249 max_slip=100ms
schedule item=0 offset=1.645391779s input_tokens=234 max_tokens=225
schedule item=1 offset=2.72900023s input_tokens=316 max_tokens=144
schedule item=2 offset=2.907882976s input_tokens=214 max_tokens=274
schedule item=3 offset=4.042850991s input_tokens=133 max_tokens=324
schedule item=4 offset=5.500033144s input_tokens=367 max_tokens=308
schedule item=5 offset=5.518861036s input_tokens=153 max_tokens=280
schedule item=6 offset=6.350424281s input_tokens=171 max_tokens=58
schedule item=7 offset=6.676573239s input_tokens=218 max_tokens=480
schedule item=8 offset=7.26443732s input_tokens=249 max_tokens=188
schedule item=9 offset=7.491840935s input_tokens=331 max_tokens=185
schedule item=10 offset=8.025018639s input_tokens=226 max_tokens=380
schedule item=11 offset=8.71779308s input_tokens=312 max_tokens=317
schedule item=12 offset=9.655342496s input_tokens=170 max_tokens=349
schedule item=13 offset=9.729486382s input_tokens=377 max_tokens=111
schedule item=14 offset=10.006033773s input_tokens=193 max_tokens=245
schedule item=15 offset=10.125140677s input_tokens=115 max_tokens=99
schedule item=16 offset=10.406173908s input_tokens=224 max_tokens=176
schedule item=17 offset=10.414103775s input_tokens=232 max_tokens=151
schedule item=18 offset=10.526672956s input_tokens=93 max_tokens=206
schedule item=19 offset=11.788767783s input_tokens=353 max_tokens=217
schedule item=20 offset=12.014785932s input_tokens=124 max_tokens=455
schedule item=21 offset=12.056520823s input_tokens=133 max_tokens=307
schedule item=22 offset=12.087616059s input_tokens=288 max_tokens=227
schedule item=23 offset=12.169296004s input_tokens=256 max_tokens=285
schedule item=24 offset=12.209100268s input_tokens=235 max_tokens=415
schedule item=25 offset=12.221453512s input_tokens=197 max_tokens=163
schedule item=26 offset=12.343789543s input_tokens=185 max_tokens=131
schedule item=27 offset=12.361691214s input_tokens=424 max_tokens=252
schedule item=28 offset=12.413226993s input_tokens=202 max_tokens=185
schedule item=29 offset=12.543624986s input_tokens=272 max_tokens=190
schedule item=30 offset=12.592213238s input_tokens=75 max_tokens=348
schedule item=31 offset=12.734741081s input_tokens=219 max_tokens=364
schedule item=32 offset=12.835893419s input_tokens=155 max_tokens=331
schedule item=33 offset=12.899706537s input_tokens=378 max_tokens=191
schedule item=34 offset=13.035440218s input_tokens=349 max_tokens=177
schedule item=35 offset=13.113510968s input_tokens=351 max_tokens=287
schedule item=36 offset=13.131165395s input_tokens=205 max_tokens=312
schedule item=37 offset=13.176544677s input_tokens=202 max_tokens=269
schedule item=38 offset=13.208253597s input_tokens=280 max_tokens=185
schedule item=39 offset=13.276863639s input_tokens=106 max_tokens=166
schedule item=40 offset=13.301379992s input_tokens=213 max_tokens=317
schedule item=41 offset=13.349501302s input_tokens=210 max_tokens=227
schedule item=42 offset=13.371218357s input_tokens=262 max_tokens=83
schedule item=43 offset=13.459228074s input_tokens=244 max_tokens=280
schedule item=44 offset=13.556402251s input_tokens=181 max_tokens=221
schedule item=45 offset=13.590473059s input_tokens=249 max_tokens=176
schedule item=46 offset=13.629244814s input_tokens=261 max_tokens=249
schedule item=47 offset=13.667826935s input_tokens=132 max_tokens=326
schedule item=48 offset=13.667939185s input_tokens=160 max_tokens=259
schedule item=49 offset=13.690593799s input_tokens=117 max_tokens=153
schedule item=50 offset=13.767555434s input_tokens=90 max_tokens=254
schedule item=51 offset=13.77421172s input_tokens=109 max_tokens=97
schedule item=52 offset=13.856157604s input_tokens=255 max_tokens=263
schedule item=53 offset=13.87733438s input_tokens=156 max_tokens=480
schedule item=54 offset=13.961173158s input_tokens=180 max_tokens=265
schedule item=55 offset=13.994020573s input_tokens=194 max_tokens=494
schedule item=56 offset=14.07412286s input_tokens=292 max_tokens=70
schedule item=57 offset=14.142027115s input_tokens=234 max_tokens=258
schedule item=58 offset=14.227460387s input_tokens=231 max_tokens=103
schedule item=59 offset=14.235457466s input_tokens=316 max_tokens=338
schedule item=60 offset=14.241654981s input_tokens=166 max_tokens=199
schedule item=61 offset=14.254404866s input_tokens=311 max_tokens=378
schedule item=62 offset=14.288731635s input_tokens=219 max_tokens=236
schedule item=63 offset=14.289577414s input_tokens=170 max_tokens=278
schedule item=64 offset=14.301742806s input_tokens=120 max_tokens=341
schedule item=65 offset=14.31469496s input_tokens=250 max_tokens=406
schedule item=66 offset=14.395154223s input_tokens=45 max_tokens=350
schedule item=67 offset=14.437724825s input_tokens=263 max_tokens=162
schedule item=68 offset=14.440256999s input_tokens=276 max_tokens=390
schedule item=69 offset=14.441107626s input_tokens=144 max_tokens=248
schedule item=70 offset=14.444610758s input_tokens=122 max_tokens=315
schedule item=71 offset=14.464883156s input_tokens=232 max_tokens=304
schedule item=72 offset=14.545862417s input_tokens=245 max_tokens=330
schedule item=73 offset=14.597492616s input_tokens=134 max_tokens=145
schedule item=74 offset=14.621736355s input_tokens=167 max_tokens=233
schedule item=75 offset=14.661736279s input_tokens=82 max_tokens=350
schedule item=76 offset=14.685906761s input_tokens=332 max_tokens=166
schedule item=77 offset=14.69689873s input_tokens=311 max_tokens=202
schedule item=78 offset=14.740571239s input_tokens=213 max_tokens=186
schedule item=79 offset=14.758096269s input_tokens=142 max_tokens=267
schedule item=80 offset=14.800508579s input_tokens=176 max_tokens=145
schedule item=81 offset=14.84975383s input_tokens=97 max_tokens=331
schedule item=82 offset=14.886045775s input_tokens=41 max_tokens=457
schedule item=83 offset=14.90641893s input_tokens=183 max_tokens=499
schedule item=84 offset=15.427536792s input_tokens=108 max_tokens=308
schedule item=85 offset=15.622908831s input_tokens=307 max_tokens=230
schedule item=86 offset=16.306429186s input_tokens=217 max_tokens=441
schedule item=87 offset=16.46923448s input_tokens=227 max_tokens=243
schedule item=88 offset=17.055851156s input_tokens=249 max_tokens=210
schedule item=89 offset=17.252955598s input_tokens=190 max_tokens=152
schedule item=90 offset=17.669333306s input_tokens=80 max_tokens=406
schedule item=91 offset=17.957684822s input_tokens=183 max_tokens=254
schedule item=92 offset=18.378642059s input_tokens=207 max_tokens=363
schedule item=93 offset=18.72365812s input_tokens=209 max_tokens=257
schedule item=94 offset=19.630080109s input_tokens=345 max_tokens=208
schedule item=95 offset=20.032656709s input_tokens=266 max_tokens=354
schedule item=96 offset=20.519755054s input_tokens=235 max_tokens=374
schedule item=97 offset=21.356658897s input_tokens=322 max_tokens=265
schedule item=98 offset=21.475214698s input_tokens=260 max_tokens=265
schedule item=99 offset=22.228093634s input_tokens=145 max_tokens=189
schedule item=100 offset=22.718112816s input_tokens=180 max_tokens=189
schedule item=101 offset=22.727848728s input_tokens=246 max_tokens=238
schedule item=102 offset=22.93928483s input_tokens=408 max_tokens=319
schedule item=103 offset=23.4365502s input_tokens=267 max_tokens=287
schedule item=104 offset=23.627542986s input_tokens=311 max_tokens=405
schedule item=105 offset=23.921275755s input_tokens=241 max_tokens=92
schedule item=106 offset=23.960836319s input_tokens=198 max_tokens=121
schedule item=107 offset=25.089818199s input_tokens=183 max_tokens=422
schedule item=108 offset=26.307353931s input_tokens=220 max_tokens=230
schedule item=109 offset=26.670538515s input_tokens=299 max_tokens=137
schedule item=110 offset=27.030485021s input_tokens=286 max_tokens=191
schedule item=111 offset=27.045104453s input_tokens=168 max_tokens=153
schedule item=112 offset=27.093242376s input_tokens=178 max_tokens=251
schedule item=113 offset=27.127454245s input_tokens=245 max_tokens=301
schedule item=114 offset=27.190460161s input_tokens=234 max_tokens=266
schedule item=115 offset=27.208458891s input_tokens=260 max_tokens=238
schedule item=116 offset=27.377590255s input_tokens=200 max_tokens=309
schedule item=117 offset=27.402349219s input_tokens=187 max_tokens=199
schedule item=118 offset=27.420044795s input_tokens=148 max_tokens=113
schedule item=119 offset=27.463736819s input_tokens=217 max_tokens=16
schedule item=120 offset=27.501933528s input_tokens=194 max_tokens=297
schedule item=121 offset=27.509793331s input_tokens=329 max_tokens=366
schedule item=122 offset=27.541938809s input_tokens=224 max_tokens=278
schedule item=123 offset=27.602618116s input_tokens=232 max_tokens=412
schedule item=124 offset=27.7869498s input_tokens=404 max_tokens=245
schedule item=125 offset=27.800618498s input_tokens=18 max_tokens=231
schedule item=126 offset=27.913700019s input_tokens=361 max_tokens=350
schedule item=127 offset=27.954267287s input_tokens=212 max_tokens=247
schedule item=128 offset=28.011113819s input_tokens=186 max_tokens=227
schedule item=129 offset=28.013618581s input_tokens=248 max_tokens=215
schedule item=130 offset=28.078296193s input_tokens=215 max_tokens=269
schedule item=131 offset=28.090543427s input_tokens=233 max_tokens=409
schedule item=132 offset=28.151251129s input_tokens=174 max_tokens=231
schedule item=133 offset=28.170601589s input_tokens=154 max_tokens=301
schedule item=134 offset=28.239285555s input_tokens=196 max_tokens=289
schedule item=135 offset=28.320895961s input_tokens=221 max_tokens=235
schedule item=136 offset=28.328962777s input_tokens=246 max_tokens=330
schedule item=137 offset=28.374608342s input_tokens=185 max_tokens=85
schedule item=138 offset=28.409125181s input_tokens=215 max_tokens=385
schedule item=139 offset=28.592109159s input_tokens=278 max_tokens=248
schedule item=140 offset=28.673817694s input_tokens=300 max_tokens=470
schedule item=141 offset=28.751328556s input_tokens=244 max_tokens=185
schedule item=142 offset=28.761858647s input_tokens=76 max_tokens=252
schedule item=143 offset=28.77770788s input_tokens=292 max_tokens=290
schedule item=144 offset=28.826219335s input_tokens=259 max_tokens=118
schedule item=145 offset=28.889364394s input_tokens=207 max_tokens=235
schedule item=146 offset=28.900023059s input_tokens=317 max_tokens=280
schedule item=147 offset=28.919241989s input_tokens=266 max_tokens=127
schedule item=148 offset=28.949806032s input_tokens=178 max_tokens=224
schedule item=149 offset=28.953009442s input_tokens=45 max_tokens=215
schedule item=150 offset=28.954915933s input_tokens=364 max_tokens=310
schedule item=151 offset=28.969419922s input_tokens=75 max_tokens=338
schedule item=152 offset=29.034594214s input_tokens=273 max_tokens=138
schedule item=153 offset=29.090384439s input_tokens=301 max_tokens=268
schedule item=154 offset=29.175042683s input_tokens=361 max_tokens=343
schedule item=155 offset=29.185105586s input_tokens=260 max_tokens=268
schedule item=156 offset=29.23462472s input_tokens=264 max_tokens=308
schedule item=157 offset=29.258210426s input_tokens=181 max_tokens=451
schedule item=158 offset=29.276601251s input_tokens=203 max_tokens=319
schedule item=159 offset=29.320514165s input_tokens=164 max_tokens=288
schedule item=160 offset=29.46142011s input_tokens=216 max_tokens=173
schedule item=161 offset=29.536002858s input_tokens=251 max_tokens=168
schedule item=162 offset=29.773286845s input_tokens=186 max_tokens=223
schedule item=163 offset=29.793938942s input_tokens=164 max_tokens=320
schedule item=164 offset=29.83847103s input_tokens=189 max_tokens=208
schedule item=165 offset=29.862035371s input_tokens=272 max_tokens=176
schedule item=166 offset=30.270125287s input_tokens=213 max_tokens=188
schedule item=167 offset=30.561498401s input_tokens=240 max_tokens=457
schedule item=168 offset=30.57063826s input_tokens=167 max_tokens=248
schedule item=169 offset=30.950363491s input_tokens=254 max_tokens=308
schedule item=170 offset=31.483983012s input_tokens=235 max_tokens=437
schedule item=171 offset=33.007542184s input_tokens=210 max_tokens=328
schedule item=172 offset=33.212656021s input_tokens=253 max_tokens=235
schedule item=173 offset=34.314957913s input_tokens=189 max_tokens=392
schedule item=174 offset=35.163337371s input_tokens=302 max_tokens=48
schedule item=175 offset=35.238053861s input_tokens=113 max_tokens=352
schedule item=176 offset=35.98389806s input_tokens=162 max_tokens=170
