run_id=dryrun-chat-short repetition=1 requests=120 max_slip=100ms
schedule item=0 offset=90.465705ms input_tokens=174 max_tokens=83
schedule item=1 offset=336.63305ms input_tokens=205 max_tokens=163
schedule item=2 offset=621.514938ms input_tokens=189 max_tokens=54
schedule item=3 offset=711.936556ms input_tokens=198 max_tokens=189
schedule item=4 offset=1.002303775s input_tokens=247 max_tokens=127
schedule item=5 offset=1.010767607s input_tokens=224 max_tokens=66
schedule item=6 offset=1.477746377s input_tokens=176 max_tokens=84
schedule item=7 offset=1.7717269s input_tokens=277 max_tokens=50
schedule item=8 offset=1.94053701s input_tokens=188 max_tokens=242
schedule item=9 offset=2.015240875s input_tokens=177 max_tokens=48
schedule item=10 offset=2.02507961s input_tokens=257 max_tokens=136
schedule item=11 offset=2.139410808s input_tokens=152 max_tokens=82
schedule item=12 offset=2.279491627s input_tokens=73 max_tokens=172
schedule item=13 offset=2.285535895s input_tokens=167 max_tokens=126
schedule item=14 offset=2.294732381s input_tokens=281 max_tokens=163
schedule item=15 offset=2.327810955s input_tokens=197 max_tokens=90
schedule item=16 offset=3.311701511s input_tokens=183 max_tokens=384
schedule item=17 offset=3.386721331s input_tokens=152 max_tokens=200
schedule item=18 offset=3.447008233s input_tokens=286 max_tokens=204
schedule item=19 offset=3.6645652s input_tokens=247 max_tokens=178
schedule item=20 offset=3.864723669s input_tokens=154 max_tokens=279
schedule item=21 offset=4.047036158s input_tokens=212 max_tokens=193
schedule item=22 offset=4.241426654s input_tokens=231 max_tokens=214
schedule item=23 offset=4.257885399s input_tokens=153 max_tokens=244
schedule item=24 offset=4.275753837s input_tokens=242 max_tokens=122
schedule item=25 offset=4.389457465s input_tokens=289 max_tokens=74
schedule item=26 offset=4.47719594s input_tokens=273 max_tokens=137
schedule item=27 offset=4.940492856s input_tokens=221 max_tokens=109
schedule item=28 offset=5.037412457s input_tokens=174 max_tokens=60
schedule item=29 offset=5.048102926s input_tokens=264 max_tokens=85
schedule item=30 offset=5.125013892s input_tokens=161 max_tokens=80
schedule item=31 offset=5.163171736s input_tokens=271 max_tokens=161
schedule item=32 offset=5.411125354s input_tokens=295 max_tokens=63
schedule item=33 offset=5.453567827s input_tokens=98 max_tokens=108
schedule item=34 offset=5.541550627s input_tokens=211 max_tokens=116
schedule item=35 offset=5.637906338s input_tokens=299 max_tokens=154
schedule item=36 offset=5.794563067s input_tokens=87 max_tokens=73
schedule item=37 offset=5.84688841s input_tokens=285 max_tokens=165
schedule item=38 offset=5.919048998s input_tokens=163 max_tokens=171
schedule item=39 offset=5.95157766s input_tokens=284 max_tokens=264
schedule item=40 offset=6.014993599s input_tokens=254 max_tokens=78
schedule item=41 offset=6.353629812s input_tokens=266 max_tokens=147
schedule item=42 offset=6.443734182s input_tokens=103 max_tokens=57
schedule item=43 offset=6.564727028s input_tokens=326 max_tokens=97
schedule item=44 offset=6.564763787s input_tokens=197 max_tokens=283
schedule item=45 offset=6.674427599s input_tokens=180 max_tokens=92
schedule item=46 offset=6.816739343s input_tokens=251 max_tokens=93
schedule item=47 offset=6.963425263s input_tokens=215 max_tokens=43
schedule item=48 offset=7.176758746s input_tokens=152 max_tokens=194
schedule item=49 offset=7.286515326s input_tokens=283 max_tokens=59
schedule item=50 offset=7.516456638s input_tokens=321 max_tokens=76
schedule item=51 offset=7.589017502s input_tokens=293 max_tokens=189
schedule item=52 offset=7.63902401s input_tokens=277 max_tokens=85
schedule item=53 offset=7.716634651s input_tokens=165 max_tokens=128
schedule item=54 offset=7.798187898s input_tokens=162 max_tokens=243
schedule item=55 offset=7.848830961s input_tokens=239 max_tokens=96
schedule item=56 offset=7.930795732s input_tokens=178 max_tokens=119
schedule item=57 offset=8.083907566s input_tokens=104 max_tokens=197
schedule item=58 offset=8.200085562s input_tokens=148 max_tokens=203
schedule item=59 offset=8.205301605s input_tokens=207 max_tokens=256
schedule item=60 offset=8.239409933s input_tokens=103 max_tokens=149
schedule item=61 offset=8.535762813s input_tokens=154 max_tokens=132
schedule item=62 offset=8.606967051s input_tokens=190 max_tokens=112
schedule item=63 offset=8.70576386s input_tokens=36 max_tokens=191
schedule item=64 offset=8.889402684s input_tokens=66 max_tokens=118
schedule item=65 offset=8.982626627s input_tokens=226 max_tokens=210
schedule item=66 offset=9.086491914s input_tokens=210 max_tokens=105
schedule item=67 offset=9.131087384s input_tokens=142 max_tokens=45
schedule item=68 offset=9.158101287s input_tokens=222 max_tokens=189
schedule item=69 offset=9.202288171s input_tokens=236 max_tokens=86
schedule item=70 offset=9.499854008s input_tokens=208 max_tokens=55
schedule item=71 offset=9.569657607s input_tokens=88 max_tokens=234
schedule item=72 offset=9.839028469s input_tokens=237 max_tokens=158
schedule item=73 offset=9.867227009s input_tokens=160 max_tokens=206
schedule item=74 offset=10.160545673s input_tokens=376 max_tokens=135
schedule item=75 offset=10.172659213s input_tokens=134 max_tokens=67
schedule item=76 offset=10.280989701s input_tokens=130 max_tokens=116
schedule item=77 offset=10.319805463s input_tokens=250 max_tokens=91
schedule item=78 offset=10.33420587s input_tokens=118 max_tokens=134
schedule item=79 offset=10.796928638s input_tokens=217 max_tokens=142
schedule item=80 offset=10.824756206s input_tokens=164 max_tokens=384
schedule item=81 offset=10.872310201s input_tokens=280 max_tokens=167
schedule item=82 offset=11.274150558s input_tokens=357 max_tokens=88
schedule item=83 offset=11.618569742s input_tokens=332 max_tokens=54
schedule item=84 offset=12.026745258s input_tokens=284 max_tokens=233
schedule item=85 offset=12.256579464s input_tokens=269 max_tokens=156
schedule item=86 offset=12.386124972s input_tokens=267 max_tokens=91
schedule item=87 offset=12.41709522s input_tokens=207 max_tokens=219
schedule item=88 offset=12.533020847s input_tokens=286 max_tokens=175
schedule item=89 offset=12.564216963s input_tokens=16 max_tokens=163
schedule item=90 offset=12.585781459s input_tokens=232 max_tokens=274
schedule item=91 offset=12.589403659s input_tokens=218 max_tokens=87
schedule item=92 offset=12.95734928s input_tokens=205 max_tokens=99
schedule item=93 offset=13.045299653s input_tokens=182 max_tokens=111
schedule item=94 offset=13.157083574s input_tokens=272 max_tokens=129
schedule item=95 offset=13.281549793s input_tokens=250 max_tokens=116
schedule item=96 offset=13.860400932s input_tokens=284 max_tokens=135
schedule item=97 offset=13.933353623s input_tokens=124 max_tokens=137
schedule item=98 offset=13.962525631s input_tokens=190 max_tokens=123
schedule item=99 offset=13.982866123s input_tokens=188 max_tokens=258
schedule item=100 offset=14.042214047s input_tokens=214 max_tokens=159
schedule item=101 offset=14.28501059s input_tokens=214 max_tokens=188
schedule item=102 offset=14.425464186s input_tokens=244 max_tokens=77
schedule item=103 offset=14.477320066s input_tokens=254 max_tokens=57
schedule item=104 offset=14.54722844s input_tokens=178 max_tokens=73
schedule item=105 offset=14.564050687s input_tokens=192 max_tokens=49
schedule item=106 offset=14.621875271s input_tokens=273 max_tokens=77
schedule item=107 offset=14.792151745s input_tokens=172 max_tokens=172
schedule item=108 offset=14.931681217s input_tokens=245 max_tokens=151
schedule item=109 offset=15.141676111s input_tokens=136 max_tokens=136
schedule item=110 offset=15.148317034s input_tokens=243 max_tokens=155
schedule item=111 offset=15.315590326s input_tokens=183 max_tokens=128
schedule item=112 offset=15.68002515s input_tokens=159 max_tokens=211
schedule item=113 offset=15.692281092s input_tokens=173 max_tokens=143
schedule item=114 offset=15.753510427s input_tokens=207 max_tokens=100
schedule item=115 offset=15.779047422s input_tokens=158 max_tokens=290
schedule item=116 offset=15.799595423s input_tokens=126 max_tokens=53
schedule item=117 offset=15.865221242s input_tokens=123 max_tokens=141
schedule item=118 offset=16.147804316s input_tokens=256 max_tokens=125
schedule item=119 offset=16.307264468s input_tokens=217 max_tokens=99
request item=0 id=dryrun-chat-short-r1-000000 status=ok body_sha256=42201376039fd7d1a5bc19edd51548ced176a7ecde88f60ae3c47087294b3007
request item=1 id=dryrun-chat-short-r1-000001 status=ok body_sha256=035ff811350f877f6ca165297a256386e4786440bdea4ba22d49381e4299a8ed
request item=2 id=dryrun-chat-short-r1-000002 status=ok body_sha256=28215f0722eb18c569dc2d166fe64a767355bf6a2b482f03aa2933fa119cfc39
request item=5 id=dryrun-chat-short-r1-000005 status=ok body_sha256=bb2100a5d960a66102905b7fd0eb6df7ee5e3d2deff853f5dd22e4b9e949539f
request item=3 id=dryrun-chat-short-r1-000003 status=ok body_sha256=39824e38fe26df1ba7ccb3696c6c3a4246630394a7690a466fa05991a5e4c702
request item=4 id=dryrun-chat-short-r1-000004 status=ok body_sha256=bf504e7c24471f783ffc92a8dc9d2bf164a5404cc9a7901e879003d9beeed3fc
request item=6 id=dryrun-chat-short-r1-000006 status=ok body_sha256=deb5074f51e0d8e9d64d810bb4b18d19f15bd39ff1b26f14512353b83143e783
request item=7 id=dryrun-chat-short-r1-000007 status=ok body_sha256=a78be760de08d076f3e85956cd472478d48abc3f9ad0e8f3f47bcd10c443e89b
request item=9 id=dryrun-chat-short-r1-000009 status=ok body_sha256=fd9b77f0790b5a07cb06aa0d08e28e6280180bf50165fd4ec05d77dde60827f2
request item=11 id=dryrun-chat-short-r1-000011 status=ok body_sha256=babc0dba83fa606a65f8ba9d2bb249dc6497841e0fc45bddac8315cf07711fcd
request item=10 id=dryrun-chat-short-r1-000010 status=ok body_sha256=af1611cfc341db03f5a70053d638e02896f87f05e865b8c1af92d457ac2a173f
request item=15 id=dryrun-chat-short-r1-000015 status=ok body_sha256=0432fa68927f1f9ab46ab7b9aa86d735ce80e32c2582061b201b8f0323ca4972
