run_id=dryrun-gen-long-out repetition=1 requests=45 max_slip=100ms
schedule item=0 offset=27.826553ms input_tokens=70 max_tokens=1069
schedule item=1 offset=294.737912ms input_tokens=30 max_tokens=1404
schedule item=2 offset=1.523257188s input_tokens=276 max_tokens=1564
schedule item=3 offset=2.171553422s input_tokens=188 max_tokens=791
schedule item=4 offset=2.454866926s input_tokens=95 max_tokens=578
schedule item=5 offset=3.119899776s input_tokens=100 max_tokens=1050
schedule item=6 offset=4.258644575s input_tokens=131 max_tokens=1329
schedule item=7 offset=4.47731476s input_tokens=130 max_tokens=998
schedule item=8 offset=4.542524031s input_tokens=38 max_tokens=1219
schedule item=9 offset=4.567505295s input_tokens=131 max_tokens=554
schedule item=10 offset=4.980925025s input_tokens=154 max_tokens=943
schedule item=11 offset=5.052566247s input_tokens=99 max_tokens=1023
schedule item=12 offset=6.091450295s input_tokens=99 max_tokens=700
schedule item=13 offset=6.46378702s input_tokens=196 max_tokens=1115
schedule item=14 offset=6.967479333s input_tokens=65 max_tokens=1374
schedule item=15 offset=8.43080581s input_tokens=106 max_tokens=1250
schedule item=16 offset=8.870712086s input_tokens=76 max_tokens=860
schedule item=17 offset=9.116234758s input_tokens=99 max_tokens=964
schedule item=18 offset=9.751171401s input_tokens=70 max_tokens=1276
schedule item=19 offset=9.899686665s input_tokens=112 max_tokens=979
schedule item=20 offset=10.027350888s input_tokens=109 max_tokens=977
schedule item=21 offset=10.452311989s input_tokens=87 max_tokens=512
schedule item=22 offset=10.619744335s input_tokens=108 max_tokens=973
schedule item=23 offset=11.563437806s input_tokens=52 max_tokens=1036
schedule item=24 offset=13.105482544s input_tokens=82 max_tokens=1336
schedule item=25 offset=13.363649686s input_tokens=155 max_tokens=1335
schedule item=26 offset=13.712132292s input_tokens=121 max_tokens=1565
schedule item=27 offset=14.032021214s input_tokens=174 max_tokens=686
schedule item=28 offset=14.99306984s input_tokens=162 max_tokens=1052
schedule item=29 offset=15.091159198s input_tokens=52 max_tokens=1184
schedule item=30 offset=15.298088062s input_tokens=89 max_tokens=1196
schedule item=31 offset=15.450310018s input_tokens=130 max_tokens=975
schedule item=32 offset=15.494384253s input_tokens=171 max_tokens=1126
schedule item=33 offset=16.565958573s input_tokens=108 max_tokens=1136
schedule item=34 offset=16.664315849s input_tokens=177 max_tokens=1130
schedule item=35 offset=17.099844416s input_tokens=47 max_tokens=1097
schedule item=36 offset=19.195494949s input_tokens=83 max_tokens=925
schedule item=37 offset=20.011049405s input_tokens=54 max_tokens=1005
schedule item=38 offset=20.168560169s input_tokens=167 max_tokens=958
schedule item=39 offset=22.13755613s input_tokens=91 max_tokens=1194
schedule item=40 offset=23.254711205s input_tokens=132 max_tokens=1011
schedule item=41 offset=23.420693442s input_tokens=158 max_tokens=1190
schedule item=42 offset=24.507025977s input_tokens=138 max_tokens=1013
schedule item=43 offset=24.626820623s input_tokens=189 max_tokens=1005
schedule item=44 offset=25.196821092s input_tokens=187 max_tokens=1172
request item=0 id=dryrun-gen-long-out-r1-000000 status=ok body_sha256=1eecdee20f0def5900e235b2af9a6852840b101f52062ce81c7913204ec4513b
request item=1 id=dryrun-gen-long-out-r1-000001 status=ok body_sha256=4fab0fda7088341a91c3e1528eea1feb58c7818038c03ed912fa45002cbc24fd
request item=2 id=dryrun-gen-long-out-r1-000002 status=ok body_sha256=ffa49bffd6d287a984f4eb6d47bc96e709a5a538bc9d360d5577eddab502622e
request item=3 id=dryrun-gen-long-out-r1-000003 status=ok body_sha256=19d7ca7d51b9cf7a6e238d335cd040ce2d335403e13277971f38457923e308b9
request item=4 id=dryrun-gen-long-out-r1-000004 status=ok body_sha256=f8e3698c77a6fb8a0c56c58ccd413818974b41c82ea704cdd73467ed846630b8
request item=5 id=dryrun-gen-long-out-r1-000005 status=ok body_sha256=289f1f33b5267d03aa2cdebba3da79d1a4283b0e6f8a4c088e9514cfd6ad4494
request item=7 id=dryrun-gen-long-out-r1-000007 status=ok body_sha256=fd8af10fd28002eb5409a78f018adf253718fe540f259da2fc9fcdbe57455471
request item=10 id=dryrun-gen-long-out-r1-000010 status=ok body_sha256=3379402f3b9e62ff43ba5dccdf003f4621d322a3d108150122c1e1f31f08c0e8
request item=9 id=dryrun-gen-long-out-r1-000009 status=ok body_sha256=e685de9dd8b85c07e5b4616f0a3f04006a8ff559f1d0e094eff46f6fc238df7e
request item=6 id=dryrun-gen-long-out-r1-000006 status=ok body_sha256=98f0e7fdd39338d4a2493d1611d1bc2fc1d34525d46ceec87cc32c95f422d1ed
request item=8 id=dryrun-gen-long-out-r1-000008 status=ok body_sha256=10b98cc0627bff7abc7c8e05df8c235ac97e768c275f0be9d3a99a59cb4b9164
request item=11 id=dryrun-gen-long-out-r1-000011 status=ok body_sha256=eb98483ea82dc83d393b768cb46222a49185c067e18f82e5e3efe9e9066f0976
request item=12 id=dryrun-gen-long-out-r1-000012 status=ok body_sha256=25723e23cf53199d966d45824dccf89e05033cc9749a1413a3a00419f4c8ba40
request item=14 id=dryrun-gen-long-out-r1-000014 status=ok body_sha256=9f9a99cd8fe49dcc09ca724d9c4c48f443220791518dd55623a6472bbb80b026
