run_id=dryrun-mixed repetition=1 requests=100 max_slip=100ms
schedule item=0 offset=210.885419ms input_tokens=298 max_tokens=101
schedule item=1 offset=375.454246ms input_tokens=6337 max_tokens=74
schedule item=2 offset=380.766303ms input_tokens=131 max_tokens=219
schedule item=3 offset=412.03743ms input_tokens=5172 max_tokens=248
schedule item=4 offset=608.017598ms input_tokens=160 max_tokens=985
schedule item=5 offset=663.644028ms input_tokens=7820 max_tokens=146
schedule item=6 offset=1.289364006s input_tokens=337 max_tokens=106
schedule item=7 offset=1.307180547s input_tokens=199 max_tokens=156
schedule item=8 offset=1.673396559s input_tokens=157 max_tokens=1463
schedule item=9 offset=2.056319213s input_tokens=5970 max_tokens=61
schedule item=10 offset=2.154485757s input_tokens=123 max_tokens=88
schedule item=11 offset=2.515243638s input_tokens=190 max_tokens=114
schedule item=12 offset=2.872078169s input_tokens=106 max_tokens=1103
schedule item=13 offset=2.876204255s input_tokens=6614 max_tokens=141
schedule item=14 offset=3.026956679s input_tokens=196 max_tokens=61
schedule item=15 offset=3.268270891s input_tokens=168 max_tokens=284
schedule item=16 offset=3.396550134s input_tokens=164 max_tokens=53
schedule item=17 offset=3.573373722s input_tokens=113 max_tokens=95
schedule item=18 offset=3.632446974s input_tokens=172 max_tokens=124
schedule item=19 offset=3.646159297s input_tokens=3622 max_tokens=200
schedule item=20 offset=3.73987884s input_tokens=6114 max_tokens=1032
schedule item=21 offset=3.749582874s input_tokens=66 max_tokens=384
schedule item=22 offset=4.058793504s input_tokens=16 max_tokens=1012
schedule item=23 offset=4.077925845s input_tokens=210 max_tokens=272
schedule item=24 offset=4.168532829s input_tokens=8055 max_tokens=86
schedule item=25 offset=4.360549702s input_tokens=166 max_tokens=224
schedule item=26 offset=4.554083491s input_tokens=208 max_tokens=114
schedule item=27 offset=4.599588713s input_tokens=7798 max_tokens=119
schedule item=28 offset=4.762141723s input_tokens=204 max_tokens=919
schedule item=29 offset=5.116820867s input_tokens=209 max_tokens=808
schedule item=30 offset=5.254768759s input_tokens=138 max_tokens=89
schedule item=31 offset=5.513681999s input_tokens=363 max_tokens=111
schedule item=32 offset=5.647656828s input_tokens=200 max_tokens=190
schedule item=33 offset=5.88363371s input_tokens=187 max_tokens=92
schedule item=34 offset=5.931711742s input_tokens=22 max_tokens=37
schedule item=35 offset=6.043911585s input_tokens=53 max_tokens=95
schedule item=36 offset=6.061500204s input_tokens=112 max_tokens=94
schedule item=37 offset=6.153382714s input_tokens=16 max_tokens=110
schedule item=38 offset=6.392675705s input_tokens=333 max_tokens=1078
schedule item=39 offset=6.674179124s input_tokens=188 max_tokens=178
schedule item=40 offset=6.814292556s input_tokens=283 max_tokens=832
schedule item=41 offset=6.857479853s input_tokens=5390 max_tokens=167
schedule item=42 offset=7.3807582s input_tokens=302 max_tokens=52
schedule item=43 offset=7.519956151s input_tokens=7333 max_tokens=248
schedule item=44 offset=7.700856499s input_tokens=4332 max_tokens=65
schedule item=45 offset=7.779999604s input_tokens=271 max_tokens=74
schedule item=46 offset=8.012508382s input_tokens=7763 max_tokens=248
schedule item=47 offset=8.313153374s input_tokens=4372 max_tokens=77
schedule item=48 offset=8.491560998s input_tokens=7400 max_tokens=128
schedule item=49 offset=8.941106502s input_tokens=130 max_tokens=1192
schedule item=50 offset=8.967452367s input_tokens=7277 max_tokens=42
schedule item=51 offset=9.092655815s input_tokens=317 max_tokens=125
schedule item=52 offset=9.251138912s input_tokens=228 max_tokens=62
schedule item=53 offset=9.389625773s input_tokens=94 max_tokens=189
schedule item=54 offset=9.708654815s input_tokens=227 max_tokens=1152
schedule item=55 offset=9.802684561s input_tokens=6575 max_tokens=168
schedule item=56 offset=9.980063767s input_tokens=222 max_tokens=86
schedule item=57 offset=10.053901581s input_tokens=121 max_tokens=99
schedule item=58 offset=10.503693356s input_tokens=268 max_tokens=177
schedule item=59 offset=10.699267251s input_tokens=84 max_tokens=116
schedule item=60 offset=10.767343634s input_tokens=212 max_tokens=228
schedule item=61 offset=10.828611921s input_tokens=164 max_tokens=162
schedule item=62 offset=10.863514356s input_tokens=149 max_tokens=185
schedule item=63 offset=10.920295709s input_tokens=294 max_tokens=132
schedule item=64 offset=11.053251978s input_tokens=209 max_tokens=45
schedule item=65 offset=11.356447402s input_tokens=255 max_tokens=138
schedule item=66 offset=11.399502678s input_tokens=7791 max_tokens=179
schedule item=67 offset=11.845797756s input_tokens=146 max_tokens=238
schedule item=68 offset=12.103117259s input_tokens=321 max_tokens=1297
schedule item=69 offset=12.256922372s input_tokens=216 max_tokens=172
schedule item=70 offset=12.342854315s input_tokens=4001 max_tokens=168
schedule item=71 offset=12.600913139s input_tokens=277 max_tokens=130
schedule item=72 offset=12.698383319s input_tokens=126 max_tokens=106
schedule item=73 offset=12.930835926s input_tokens=240 max_tokens=173
schedule item=74 offset=13.371702261s input_tokens=197 max_tokens=185
schedule item=75 offset=13.595988708s input_tokens=178 max_tokens=1405
schedule item=76 offset=13.840308429s input_tokens=162 max_tokens=82
schedule item=77 offset=13.88447043s input_tokens=179 max_tokens=1087
schedule item=78 offset=13.898373812s input_tokens=3742 max_tokens=129
