run_id=dryrun-rag-long-in repetition=1 requests=60 max_slip=100ms
schedule item=0 offset=264.733709ms input_tokens=5360 max_tokens=147
schedule item=1 offset=1.04058496s input_tokens=7202 max_tokens=75
schedule item=2 offset=1.364719403s input_tokens=5826 max_tokens=279
schedule item=3 offset=1.757132914s input_tokens=6094 max_tokens=194
schedule item=4 offset=2.224489545s input_tokens=3558 max_tokens=231
schedule item=5 offset=2.28183896s input_tokens=7784 max_tokens=222
schedule item=6 offset=3.062111734s input_tokens=7357 max_tokens=259
schedule item=7 offset=4.240189566s input_tokens=7249 max_tokens=233
schedule item=8 offset=5.037519069s input_tokens=4250 max_tokens=119
schedule item=9 offset=5.153861531s input_tokens=2695 max_tokens=167
schedule item=10 offset=5.209035129s input_tokens=3454 max_tokens=50
schedule item=11 offset=5.441589943s input_tokens=4359 max_tokens=164
schedule item=12 offset=7.114797716s input_tokens=7650 max_tokens=105
schedule item=13 offset=8.016388485s input_tokens=3559 max_tokens=323
schedule item=14 offset=8.579513945s input_tokens=7651 max_tokens=205
schedule item=15 offset=9.47085899s input_tokens=2696 max_tokens=233
schedule item=16 offset=9.773834726s input_tokens=4940 max_tokens=92
schedule item=17 offset=10.336113431s input_tokens=4491 max_tokens=301
schedule item=18 offset=10.772422973s input_tokens=2878 max_tokens=136
schedule item=19 offset=10.932514905s input_tokens=3005 max_tokens=251
schedule item=20 offset=10.950680272s input_tokens=4081 max_tokens=295
schedule item=21 offset=12.732805311s input_tokens=5866 max_tokens=237
schedule item=22 offset=13.120279087s input_tokens=5590 max_tokens=178
schedule item=23 offset=13.697474797s input_tokens=3586 max_tokens=213
schedule item=24 offset=14.141678571s input_tokens=6456 max_tokens=273
schedule item=25 offset=15.164696529s input_tokens=5610 max_tokens=203
schedule item=26 offset=15.742598933s input_tokens=4736 max_tokens=244
schedule item=27 offset=15.75944305s input_tokens=3367 max_tokens=265
schedule item=28 offset=15.811334308s input_tokens=7299 max_tokens=163
schedule item=29 offset=17.082998377s input_tokens=3477 max_tokens=142
schedule item=30 offset=17.179318186s input_tokens=6083 max_tokens=222
schedule item=31 offset=17.193091652s input_tokens=5455 max_tokens=366
schedule item=32 offset=17.339174377s input_tokens=5652 max_tokens=214
schedule item=33 offset=17.36739601s input_tokens=7810 max_tokens=113
schedule item=34 offset=18.357339809s input_tokens=5567 max_tokens=248
schedule item=35 offset=18.859331844s input_tokens=4461 max_tokens=225
schedule item=36 offset=19.309803422s input_tokens=2747 max_tokens=311
schedule item=37 offset=19.476468322s input_tokens=6356 max_tokens=113
schedule item=38 offset=20.903299808s input_tokens=5662 max_tokens=245
schedule item=39 offset=21.127661975s input_tokens=3798 max_tokens=218
schedule item=40 offset=22.370973252s input_tokens=3875 max_tokens=156
schedule item=41 offset=23.083267644s input_tokens=3772 max_tokens=145
schedule item=42 offset=23.395079254s input_tokens=8164 max_tokens=223
schedule item=43 offset=24.437404819s input_tokens=8084 max_tokens=181
schedule item=44 offset=24.830736916s input_tokens=7863 max_tokens=262
schedule item=45 offset=24.995648296s input_tokens=5633 max_tokens=164
schedule item=46 offset=26.199778947s input_tokens=2919 max_tokens=282
schedule item=47 offset=26.430147055s input_tokens=5789 max_tokens=278
schedule item=48 offset=27.155045235s input_tokens=7594 max_tokens=225
schedule item=49 offset=27.223781041s input_tokens=6080 max_tokens=293
schedule item=50 offset=27.378969058s input_tokens=2248 max_tokens=113
schedule item=51 offset=27.42068048s input_tokens=3241 max_tokens=195
schedule item=52 offset=27.767496198s input_tokens=7744 max_tokens=252
schedule item=53 offset=28.280332901s input_tokens=5084 max_tokens=223
schedule item=54 offset=28.397997938s input_tokens=7109 max_tokens=281
schedule item=55 offset=28.508691489s input_tokens=4672 max_tokens=211
schedule item=56 offset=28.801955026s input_tokens=3036 max_tokens=98
schedule item=57 offset=29.878644154s input_tokens=3471 max_tokens=122
schedule item=58 offset=30.227079296s input_tokens=4317 max_tokens=255
schedule item=59 offset=30.513248086s input_tokens=4667 max_tokens=179
request item=0 id=dryrun-rag-long-in-r1-000000 status=ok body_sha256=f4197ca74a3b89b39ca40716dc30a3dc1f7180a8ffdef3f5266fb6efcf274c16
request item=1 id=dryrun-rag-long-in-r1-000001 status=ok body_sha256=a74a4675b79a3b17fee1e191dd48084c2e84cd9599ee7199347db84769873200
request item=3 id=dryrun-rag-long-in-r1-000003 status=ok body_sha256=99863fb61603ad91b19928adc2857f6e9fa5a377841bfaa55e1ad6625cb56ea9
request item=2 id=dryrun-rag-long-in-r1-000002 status=ok body_sha256=e451cdd76dcb6bb1b8205bfe07cffe7f61b168dd8737a2d80e3b30e78d508725
request item=5 id=dryrun-rag-long-in-r1-000005 status=ok body_sha256=a6c0772c1101350357f8d838b16ac27ec6a9033865615bea7e438cfbaa732461
request item=4 id=dryrun-rag-long-in-r1-000004 status=ok body_sha256=86fae37cdd45341015e74798b3daccc2ac040ed47f401989f245fca8a2b5ecc8
request item=6 id=dryrun-rag-long-in-r1-000006 status=ok body_sha256=089390dc35e60b6959f441f95eb7347488232178cd18b3e24167eb3dbeffa873
request item=7 id=dryrun-rag-long-in-r1-000007 status=ok body_sha256=f44db6e9c28361f58ca597adb241254bec80ebaf30b72956671a870080c71775
request item=9 id=dryrun-rag-long-in-r1-000009 status=ok body_sha256=181d9c64596f8c73b3e5a10bf65dbfa963f8dcfb930af0904eb7a5c4cde307aa
request item=10 id=dryrun-rag-long-in-r1-000010 status=ok body_sha256=7a0b9e3455617467892a9d8937d6fbcc4508bc54e8b88724f372964ff7d043ca
request item=11 id=dryrun-rag-long-in-r1-000011 status=ok body_sha256=e41ee9a51dc8fe21258e13a2d4235bcea2aafcbc0cd4084fcea83c39fed7d4c0
request item=8 id=dryrun-rag-long-in-r1-000008 status=ok body_sha256=8e410a7db1543a732bb897b45845a0a7d7b85d7f112d6bed256fc40eb0c47a79
request item=12 id=dryrun-rag-long-in-r1-000012 status=ok body_sha256=cf0b2e27d0e67d86b32533a3fe77c9182d57efdc0ee2f17afb07e1c00219cdbb
request item=13 id=dryrun-rag-long-in-r1-000013 status=ok body_sha256=bf0c068eba5ada61ff4dc91c1a8c9af0e545d16f5eaa0d689868d4dcda9b2359
